category_id,polularity,item_num,look_through,collection,add_car,buy
8716,89,156,493,4,39,12
8719,3,4,9,0,0,1
13840,82,303,1152,32,25,7
13843,4,9,25,0,1,0
13842,1,1,3,0,1,1
13844,4,6,24,0,2,0
13847,5,14,29,1,1,0
13846,524,519,4099,48,40,7
13849,3,3,5,0,0,0
13848,81,119,276,4,19,8
7880,452,1289,4555,157,153,49
5618,70,98,290,1,35,15
5619,5,10,23,1,0,0
5610,4,4,12,0,1,1
5611,72,173,494,9,30,4
5617,7,24,50,0,0,0
5614,11,15,28,0,1,0
11765,6,8,20,0,1,1
7116,22,29,93,2,7,4
11568,79,89,222,6,3,0
11564,226,509,1798,30,67,27
11565,57,147,242,2,0,3
11566,69,157,577,8,6,4
7118,1,1,1,0,0,0
9524,8,5,17,0,0,0
9255,2,2,5,0,1,1
9252,82,120,399,8,28,10
9521,18,92,257,4,5,1
9523,9,26,63,0,2,0
6775,81,175,522,8,16,26
6776,1,5,14,0,0,0
6777,10,28,58,0,2,0
6771,24,45,105,2,3,1
6772,1,1,1,0,0,0
9965,18,32,91,3,0,1
9960,204,341,1336,23,40,28
9961,1,1,3,0,0,0
9969,6,6,8,0,0,0
4664,17,19,40,1,2,0
258,1,2,12,0,0,0
259,39,68,226,1,4,0
2793,2,8,15,0,0,0
256,5,9,16,0,0,0
257,111,137,433,8,19,5
254,191,417,1310,48,40,9
255,11,12,35,2,4,0
12039,2,2,4,0,0,0
12031,37,100,247,9,27,8
12030,3,3,6,0,0,0
12037,133,282,672,10,20,11
12747,1,1,2,0,0,0
12035,49,22,114,0,0,0
9509,2,8,13,0,0,0
9502,15,10,38,1,0,0
9503,427,746,4230,106,126,33
9501,1,1,1,0,0,0
9507,6,6,10,0,1,0
9504,3,2,9,0,0,0
3689,14,13,34,0,1,1
3583,1,2,2,0,0,0
3683,2,2,4,0,0,0
3682,238,709,1700,48,269,96
3681,24,29,69,0,2,0
3687,492,3946,15835,387,278,21
3686,1,8,16,0,0,0
2796,1,1,2,0,0,0
2518,10,13,50,0,2,2
2519,1,1,1,0,0,0
2516,17,14,33,1,2,2
2517,43,72,183,5,3,1
2510,57,71,158,1,32,20
2511,451,718,2296,45,80,59
2513,2311,11495,44577,1308,1494,525
3530,24,26,67,2,1,2
3533,3,3,3,0,0,0
3532,1,2,5,1,0,0
3535,121,69,407,15,5,2
3534,30,35,121,0,2,2
3537,179,225,917,4,50,58
3536,4,6,13,0,0,0
5054,1,2,15,0,2,2
5055,25,54,152,0,1,1
5057,129,246,607,22,27,4
5051,107,217,723,21,14,4
5052,5,7,20,0,1,0
5053,10,30,88,2,6,3
10761,76,111,342,5,40,11
10760,1,1,2,0,0,0
10762,231,127,1169,11,45,25
10765,3,3,5,0,0,0
10769,18,8,47,0,0,0
10768,5,9,32,1,0,0
4167,23,83,174,2,0,1
13895,2,4,10,0,0,0
4163,9,8,20,0,0,0
3587,1,5,11,0,0,0
13072,3,4,10,0,0,0
13074,4,3,9,0,0,0
13075,6,6,19,0,0,0
13076,1,2,3,0,0,0
13077,15,29,81,2,6,4
13078,11,9,26,0,0,1
13079,1,2,4,0,0,0
13891,2,2,4,0,0,0
6980,1,1,4,0,1,0
1981,1,1,2,0,0,0
13898,1,1,1,0,0,0
10184,2,5,13,0,1,0
10187,337,754,2751,39,216,88
10181,13,62,218,1,5,1
10183,1,3,6,0,0,0
10189,2,7,18,0,0,0
10188,17,73,167,7,2,0
1159,209,607,2079,38,77,29
1155,408,838,2732,69,38,12
1157,23,26,64,1,4,1
1150,51,63,178,1,0,13
1152,107,223,768,16,31,15
8035,5,5,11,0,0,0
8034,9,17,30,0,1,0
8036,9,17,47,0,0,0
8031,24,36,86,0,1,0
8030,7,7,15,0,1,0
8032,4,38,72,0,1,0
8039,3,4,11,0,0,1
8038,23,90,207,1,4,2
12859,42,70,235,3,8,1
12589,1,1,3,0,2,1
8528,52,165,391,11,10,1
12583,9,51,112,1,1,1
12582,150,354,1093,19,51,18
8521,95,158,651,20,24,9
12580,70,109,273,3,9,2
12855,1976,9531,28717,720,946,271
8526,122,482,1207,14,32,17
8525,15,20,50,0,5,5
12584,158,418,1498,10,86,28
13567,3,5,12,0,1,0
2798,2,4,11,0,1,0
13988,58,109,247,16,4,0
13989,46,56,179,9,8,3
13984,6,18,75,1,10,2
13985,332,413,1427,22,142,57
4297,6,6,15,0,0,0
4296,1519,5659,29055,745,459,27
13980,246,367,1419,11,51,31
13981,4,79,209,5,0,0
4293,1,1,3,0,0,0
4292,1,2,4,0,0,0
10432,1,1,5,1,1,1
4749,1,1,2,0,0,0
4748,9,39,126,0,3,1
12234,8,44,102,2,2,0
4743,21,26,71,5,5,2
4742,10,11,22,0,0,0
13670,222,203,1342,21,31,5
13671,1,1,1,0,0,0
4747,341,2182,7429,284,313,120
4746,11,9,25,2,0,0
4745,3,13,37,1,0,0
13675,5,14,32,1,0,0
6207,13,6,35,0,0,0
5869,39,102,271,7,11,9
5868,1,1,1,0,0,0
5865,25,83,174,0,8,6
5867,784,3844,13268,369,450,104
5860,2,2,3,0,0,0
5862,28,44,127,0,2,4
2183,32,64,209,0,2,0
2182,2,2,4,0,0,0
2181,2,6,17,0,0,1
2180,1,1,1,0,0,0
2186,1,1,2,0,0,0
2185,17,24,53,0,0,0
4609,96,354,936,9,15,6
13517,44,61,205,6,2,0
13515,493,868,3411,46,223,92
4605,468,1272,4414,140,136,32
4602,119,186,559,18,46,17
4603,26,42,142,1,9,3
4600,10,24,85,0,1,1
4601,137,111,516,9,22,8
12421,379,833,3419,81,48,13
12422,4,4,7,0,0,0
12238,2,2,3,0,0,0
8681,292,645,3146,33,47,58
8138,25,38,102,0,8,5
6454,10,21,60,0,0,1
151,4,8,16,0,0,0
150,424,739,4843,80,173,78
152,2,1,4,0,0,1
155,122,349,1285,10,34,6
8684,11,14,28,0,5,0
157,65,92,325,1,14,10
159,1,1,1,0,0,0
158,8,12,34,4,5,4
6900,177,531,1569,26,57,1
4200,5,6,17,1,0,0
4201,1,1,5,0,0,0
6187,10,14,45,0,2,2
6184,13,31,84,0,6,5
6183,11,16,26,1,2,0
8132,808,1473,5889,197,255,53
8133,66,216,551,3,2,0
2727,12,19,49,0,5,2
2726,1,2,7,1,0,0
2725,31,108,324,6,14,12
2724,14,27,131,7,0,1
2721,3,4,4,0,0,0
2720,16,31,65,6,1,0
9191,184,172,891,29,20,9
9190,10,23,43,0,4,0
7235,1,1,3,0,0,0
9195,84,130,371,6,23,11
7233,110,533,1552,15,9,0
7942,75,106,245,9,25,3
10379,65,310,996,10,25,16
9199,127,251,660,23,38,14
7948,80,120,372,5,11,15
7238,9,16,34,2,1,0
7239,259,600,1556,9,36,5
10562,5,5,8,0,0,0
10561,8,18,56,0,3,0
12208,3,3,4,0,0,0
6235,331,933,2523,67,66,19
6234,2,2,4,0,0,0
6236,64,281,718,7,0,2
12201,97,139,576,8,5,3
12202,50,50,157,1,3,2
6232,4,5,7,0,0,0
9297,194,476,1660,24,53,13
10518,16,30,63,3,3,0
10519,53,106,476,14,21,9
10512,1,1,2,0,0,0
9777,5,1,12,0,0,0
10511,4,4,13,0,0,0
10517,13,21,82,0,6,3
10514,31,123,337,5,4,3
9772,71,131,397,11,20,7
8866,1,1,1,0,0,0
8867,54,128,276,0,25,8
8864,1065,5188,15042,340,1052,186
8865,4,24,59,0,11,1
8863,1,1,2,0,0,0
8860,1246,2127,10279,181,351,130
8868,103,124,367,4,21,8
8869,190,121,635,19,2,10
818,31,20,79,2,0,1
819,86,338,754,33,8,1
810,7,11,25,1,0,0
811,11,23,80,0,3,6
10233,16,16,60,2,4,1
813,1,1,5,0,0,0
814,631,1959,8077,179,422,163
7819,1,1,2,0,0,0
5267,2,5,11,0,0,0
5266,94,291,934,25,24,1
5265,45,104,353,5,22,5
5264,190,238,808,22,24,3
5263,447,1915,9769,68,119,56
1706,1,1,2,0,0,0
5260,14,35,65,0,0,0
1708,9,42,88,2,0,0
1709,23,38,150,3,3,0
13403,9,13,41,1,1,4
5269,67,389,1052,8,24,15
5268,2,4,9,0,0,0
13402,1,1,3,0,0,0
2090,3,4,7,0,0,1
2093,14,14,35,1,4,4
4577,27,75,224,9,8,7
11137,1,1,3,0,0,0
13409,29,49,136,0,1,1
11135,415,535,2355,14,63,29
11132,17,22,44,0,2,2
11131,69,72,292,3,19,4
13408,152,217,561,15,33,15
11139,3,3,9,0,1,0
3029,3,3,5,0,0,0
3027,9,17,39,0,1,1
3026,32,32,81,1,6,1
3025,1,1,2,0,0,0
3087,179,609,1966,63,195,68
3023,33,65,212,5,12,9
3022,2,26,29,0,0,0
3021,33,71,213,0,0,0
8738,14,30,81,0,3,3
8736,19,25,63,1,5,1
8735,68,82,300,2,23,13
4198,9,10,27,0,0,0
13868,19,49,113,4,2,2
4196,1,1,4,0,0,0
4197,74,138,412,4,7,11
13865,39,73,245,4,3,1
4195,273,279,1430,37,109,43
13863,34,54,163,2,2,4
4190,639,1212,4493,84,164,53
4191,83,117,475,7,15,3
7938,2,2,3,0,0,0
5671,1,1,2,0,0,0
5672,5,7,15,0,0,0
5674,4,5,7,0,0,0
5677,47,146,392,11,8,3
5678,103,224,1041,9,0,2
5112,9,5,20,0,0,0
11640,6,23,46,0,0,0
6437,95,103,460,6,25,14
6436,16,22,44,0,0,0
12444,3,3,10,0,0,0
8191,73,352,1102,6,49,13
12442,1,1,1,0,0,0
8197,1,1,2,0,0,0
6431,424,963,3952,36,106,70
12441,481,858,4441,133,154,44
8199,1,2,6,0,0,0
6439,48,87,213,4,20,7
12449,43,24,90,1,0,0
13734,1,1,1,0,0,0
6758,25,33,87,0,1,4
6759,11,45,75,1,0,0
6750,93,209,527,7,11,3
6756,7,5,21,0,0,0
6757,6,15,35,0,0,0
6754,406,1090,4478,116,84,6
6755,2,19,40,0,0,0
9942,324,967,2883,85,145,55
9943,5,5,8,0,0,1
9940,7,16,26,0,0,0
9946,8,24,66,4,2,0
9944,127,242,1138,23,52,31
9945,8,35,94,0,4,3
9948,144,243,1083,10,31,10
9949,14,49,105,0,3,1
12050,4,9,16,0,0,0
12055,1,1,2,0,0,0
12054,26,149,357,35,4,0
12056,53,96,229,5,14,5
12059,6,6,9,0,0,0
12058,21,55,105,2,1,0
237,2,2,8,0,0,0
230,11,19,69,0,6,2
231,680,1096,7943,149,239,116
232,153,525,1992,30,81,35
233,55,39,212,5,4,2
2538,12,44,105,0,0,0
2539,29,46,112,0,4,2
2531,21,27,52,1,0,0
2537,30,144,354,6,3,4
2534,5,8,18,4,2,0
2535,135,116,712,15,29,4
12851,2,2,5,0,1,0
5078,2,3,5,0,0,0
5079,1,1,1,0,0,0
5072,22,31,68,1,3,1
5073,102,121,344,12,18,4
5071,1,1,2,0,0,0
5077,130,122,392,10,29,11
5074,7,7,24,0,2,1
5075,1,1,1,0,0,0
9560,3,1,9,0,0,0
9561,246,321,842,21,103,43
939,629,1965,8565,221,333,71
938,17,25,66,1,0,0
9564,1,1,2,0,0,0
9565,1,1,1,0,0,0
9566,9,32,78,1,23,2
9568,3,9,47,0,0,0
9569,908,4141,10614,84,304,143
931,2,2,6,0,1,0
930,43,76,259,5,8,3
10743,59,123,307,15,6,1
10741,41,260,611,7,4,2
934,89,284,927,13,18,0
5381,68,59,227,8,12,3
5383,69,88,371,2,14,5
5384,1,1,2,0,0,0
5387,8,10,28,1,1,1
5388,903,6065,22812,354,860,177
11837,79,164,781,5,6,5
11834,600,2204,7155,186,141,60
11835,18,26,61,2,2,1
11832,108,271,773,10,20,7
11833,94,168,459,9,17,7
11830,2,2,2,0,0,0
13098,87,155,483,11,50,16
13096,6,5,12,0,0,0
13097,1,1,2,0,0,0
13094,33,38,89,1,3,2
13092,161,1397,4471,68,237,82
13090,23,63,171,0,7,1
13091,1,1,3,0,0,0
9384,29,138,361,0,10,5
9385,22,45,94,2,0,1
795,5,6,11,1,0,0
9387,8,8,16,0,0,0
793,2,8,13,0,0,0
792,59,208,690,10,16,7
791,5,12,37,0,4,1
790,18,29,87,0,19,1
9388,152,437,1238,14,111,50
9389,4,5,13,0,0,0
799,38,47,140,1,6,1
798,2,2,7,0,0,0
2144,1,1,2,0,0,0
12260,1,1,2,0,0,0
4978,2,7,20,0,1,0
2414,40,158,424,10,2,7
1139,5,8,18,0,1,0
1138,13,13,40,1,2,0
1132,2,3,7,0,0,0
1130,1,1,2,0,0,0
1137,7,10,21,0,1,0
1136,3,5,10,0,0,0
1135,32,118,316,5,4,0
1134,2,4,4,0,0,0
4061,1,1,3,0,0,0
4975,6,10,21,0,0,1
4066,17,24,47,0,1,0
7148,21,28,84,1,3,5
4064,31,49,108,3,7,1
7146,233,406,1852,31,88,61
13774,71,415,1516,7,92,15
7140,336,1037,4259,73,26,2
7141,113,195,643,31,7,2
7142,19,26,82,1,4,1
7143,129,148,917,15,25,20
2149,4,5,10,0,0,0
13584,2,2,5,0,0,0
13779,5,5,8,0,0,0
8501,34,35,119,2,2,2
8500,15,19,40,2,0,0
12875,2,3,6,0,0,0
12874,156,202,830,12,30,23
12873,1,3,7,0,0,0
12872,20,21,46,1,0,0
12871,2,1,3,0,0,0
12870,6,8,22,0,0,0
8509,3,3,10,1,0,0
8059,2,10,12,2,2,1
8058,10,42,108,0,2,0
12267,1,1,2,0,0,0
13585,6,11,23,0,1,0
2882,1,1,1,0,0,0
2883,2187,8776,33145,488,515,156
2886,35,47,167,8,3,1
2887,1,1,2,0,0,0
2884,24,28,81,0,1,1
7493,3,15,32,1,1,0
7490,47,96,234,1,16,4
7491,45,93,279,4,3,1
7494,2,3,4,0,0,0
2,3,5,15,0,0,0
13586,4,5,9,1,0,0
12265,6,7,11,0,0,0
11168,1,2,4,0,0,0
11169,1,1,1,0,0,0
1921,4,4,7,0,0,0
3274,1,1,1,0,0,0
1289,14,18,50,1,0,0
1288,114,104,402,3,21,4
4761,2,2,6,0,1,0
1928,48,122,415,7,33,5
4763,16,28,89,0,4,1
4762,48,226,705,14,44,20
4765,2,2,4,0,1,0
13655,32,28,75,3,3,0
4767,9,10,25,0,2,1
4769,6,9,30,0,1,2
4768,40,62,174,1,3,4
11249,13,14,27,3,1,0
11245,92,153,396,15,26,4
11244,2,4,15,0,2,1
11247,12,27,55,0,4,0
11246,11,12,26,0,2,3
11241,904,6188,26478,490,499,61
1579,24,28,82,0,0,0
11242,6,19,59,0,2,1
5809,719,664,4038,67,46,6
8766,5,5,13,1,1,0
3278,1,1,3,0,0,0
5803,7,8,21,1,1,0
5802,54,162,380,7,22,6
5801,257,377,1612,14,57,24
5800,19,80,184,3,26,21
5806,6,20,55,1,0,0
5805,24,51,135,1,8,0
1573,7,7,14,0,0,0
684,11,15,40,0,1,0
1571,6,12,25,0,1,1
11799,5,7,26,1,2,1
1570,2,4,12,0,0,0
11793,102,44,324,11,5,1
11792,1,1,2,0,0,0
11791,23,130,241,1,53,0
11790,95,145,578,7,19,13
11797,320,799,3101,34,49,23
8768,2,3,11,0,0,0
682,5,4,15,0,0,0
6935,2,2,3,0,0,0
11990,57,68,225,4,25,9
6308,17,40,78,0,3,6
4888,14,17,34,1,1,1
4889,34,64,205,2,3,4
10356,789,3076,7799,66,258,115
2709,2,2,4,0,0,0
2708,49,91,233,3,4,6
10352,12,15,43,0,7,4
4880,108,167,658,9,15,15
2704,9,29,73,0,9,4
2707,5,7,12,0,0,0
4883,50,74,279,7,8,2
2701,1,1,2,0,0,0
4885,2,8,27,0,6,2
4886,13,31,89,1,0,0
2702,56,60,222,6,16,10
7962,4,4,8,0,0,0
7963,28,86,190,3,11,7
7960,97,113,384,7,13,1
7961,77,331,816,25,9,5
7966,253,328,1101,28,35,10
9179,1718,6352,21707,614,930,345
7965,4,8,22,0,1,1
10682,16,31,68,0,0,0
9176,3,3,6,0,0,0
10680,7,8,17,0,4,2
9174,3,4,9,0,1,0
10686,624,607,5053,75,174,76
9170,41,84,264,11,9,1
12268,152,287,1339,29,84,51
12269,6,8,32,2,0,1
11931,7,7,36,0,2,2
6939,6,5,13,0,0,0
12744,525,1539,5427,100,263,51
6253,361,662,3613,43,132,55
6252,13,22,53,0,0,1
6251,8,47,112,1,3,0
12261,367,602,2803,53,78,25
6256,409,1127,3693,81,231,52
6255,2930,12427,47848,1066,1147,245
8548,11,10,20,0,0,0
10531,6,23,60,3,1,0
10532,92,136,570,6,13,5
10533,3297,18891,62037,1480,1140,139
8545,8,8,18,0,0,0
9719,126,331,937,11,10,12
8544,1,1,2,0,0,0
9713,6,6,21,0,0,0
9712,82,86,274,1,21,6
9710,16,22,44,0,0,0
9717,4,6,15,0,0,1
9716,10,37,85,2,0,0
9715,89,59,284,3,8,4
3474,7,11,17,0,4,0
3475,616,2880,8868,71,200,141
830,29,30,81,1,1,0
831,90,215,528,10,37,12
8888,38,72,327,6,8,7
3471,1,2,3,0,0,0
3472,3065,12804,52350,748,1927,965
835,5,9,21,0,3,0
8885,25,31,108,0,14,3
8886,130,137,806,3,22,0
8887,33,54,181,13,4,2
3478,22,52,105,2,2,4
8881,6,5,10,0,0,0
8882,5,16,50,2,2,2
8542,43,65,211,8,6,1
9007,2,9,18,3,1,1
5249,139,77,723,16,15,4
5248,37,85,224,8,19,10
1728,13,7,36,1,2,2
1726,83,116,425,3,19,8
1727,33,67,159,5,0,1
1724,9,13,33,0,4,1
5246,14,35,83,4,1,0
1722,57,48,261,3,9,9
1723,596,334,3581,50,206,131
1720,169,866,3255,56,177,53
5242,72,84,428,7,9,2
13135,35,42,131,4,2,4
13134,44,40,133,0,1,0
13137,1,1,1,0,1,0
13131,73,78,344,1,2,0
13130,2,2,3,0,0,0
13132,85,91,358,3,7,0
7027,1,7,18,0,0,0
13138,12,80,230,3,3,1
7283,1,1,1,0,0,0
7025,58,97,247,5,10,21
7933,1,1,1,0,0,0
3005,54,103,195,0,7,0
3004,62,131,383,16,13,0
3007,5,5,10,0,2,0
3006,24,40,144,4,6,1
3001,261,340,1022,25,14,6
3000,425,998,3259,37,147,100
3003,12,13,20,2,1,0
3002,5,8,17,0,1,0
3008,11,9,38,2,1,1
9459,23,38,76,7,1,0
1588,116,197,540,14,37,12
1589,1,1,1,0,0,0
7285,6,11,23,0,1,0
1582,62,83,250,6,7,0
1580,20,57,116,0,5,1
1584,137,151,661,13,19,11
1585,4,6,11,0,0,0
7939,372,1887,4421,97,126,21
3317,1,1,1,0,0,0
10672,3,4,7,0,0,0
3316,4,6,18,0,1,0
7289,76,158,416,13,4,0
10670,1,1,4,0,0,0
9450,494,1764,6012,101,93,21
5659,1,1,1,0,0,0
5655,83,72,237,9,16,8
5653,2419,8555,26184,560,453,46
5650,29,30,96,3,0,0
4452,5,6,11,0,0,1
4450,114,146,521,14,18,10
13163,1,1,1,0,0,0
4457,18,27,53,0,2,0
464,1,1,0,0,1,0
12468,87,68,253,3,9,3
6418,15,18,34,0,8,4
12464,24,42,135,0,0,0
12465,144,166,627,13,22,4
6417,542,1375,8237,143,332,105
12467,13,19,43,0,2,1
6411,3,3,5,1,0,0
12462,3,5,8,0,0,0
6412,3,5,13,0,2,0
7777,6,26,63,0,3,1
7776,8,6,16,0,0,0
7774,3,3,6,0,0,0
7773,1,1,1,0,0,0
7772,131,154,504,8,31,12
7770,17,26,85,1,12,1
2756,5,11,21,0,0,0
3915,45,35,120,3,5,0
3911,1,1,3,0,0,0
3919,1,1,2,0,0,0
3918,19,13,58,1,0,0
