user_id,activeness,look_through,collection,add_car,buy
137,25965058,2379,5159,135,443,2
138,99759576,2350,4967,487,142,8
139,135321016,2347,7011,275,127,207
140,107791220,2340,6598,0,419,29
141,46896961,2339,8119,233,55,36
142,47041485,2338,4861,594,109,22
143,25800428,2333,6351,5,572,59
144,10553800,2313,3021,7,24,0
145,44614861,2303,5136,6,90,11
146,23329867,2303,5361,1,199,38
147,29221416,2299,4982,103,46,8
148,133641782,2294,4500,84,318,162
149,119349038,2293,7199,48,148,19
150,68413004,2290,7624,353,46,13
151,116780169,2285,5905,11,411,119
152,80680135,2285,4856,7,466,53
153,44810785,2275,5720,104,183,16
154,96927552,2273,5506,726,4,9
155,115509823,2272,5985,340,28,20
156,73737167,2266,6231,6,87,9
157,35717987,2253,5458,43,115,49
158,78365354,2248,4529,537,14,65
159,105220768,2248,5706,18,144,55
160,69741180,2247,4274,1035,9,8
161,48977926,2243,6290,58,457,42
162,79976499,2241,5437,21,279,25
163,94394468,2232,3992,22,14,11
164,92960199,2222,5114,83,280,21
165,111063096,2222,3972,59,0,3
166,96382230,2219,6142,91,91,12
167,98609058,2216,4566,92,121,27
168,105513020,2212,4927,284,49,9
169,105291484,2208,6060,219,56,22
170,108594053,2198,4555,112,49,63
171,76532351,2195,5654,7,293,55
172,46102349,2193,5616,106,92,9
173,83684528,2188,4638,22,3,1
174,130583256,2182,5723,25,36,12
175,65916987,2182,7122,12,438,56
176,121374760,2169,6600,23,886,146
177,96642918,2168,5456,94,56,13
178,56413410,2167,6691,2,176,7
179,50240467,2156,5277,12,106,29
180,59502935,2150,4906,3,231,105
181,95934502,2138,6344,3,158,16
182,90958542,2137,4571,13,116,12
183,140767127,2132,5072,2,128,29
184,89315288,2131,5354,3,81,52
185,45855740,2127,5549,6,374,43
186,80653155,2122,3568,3,70,6
187,88605554,2121,4934,1,65,28
188,87088035,2116,4826,23,54,39
189,30607791,2116,5111,160,119,24
190,25389839,2108,6111,150,113,26
191,16642876,2103,5393,98,8,12
192,42659811,2103,5874,352,25,21
193,70248359,2103,3988,19,145,20
194,41166322,2103,4403,130,15,2
195,48231447,2098,4090,284,153,69
196,1561610,2094,4903,8,431,176
197,75318830,2091,5962,440,70,10
198,103299356,2089,5981,70,444,28
199,51532560,2089,6415,10,243,61
200,73597094,2089,3997,1,364,37
201,61038739,2083,4259,311,24,2
202,2998777,2082,5508,1,221,10
203,81319256,2074,5451,78,1,10
204,42714086,2072,4264,83,1,6
205,129657497,2070,5390,123,144,43
206,8598345,2069,5805,129,140,11
207,15408775,2059,5711,97,279,64
208,41509153,2055,4571,2,33,4
209,38102445,2053,5799,4,39,14
210,109159794,2043,3978,70,13,8
211,121265866,2040,5746,62,12,18
212,64864538,2035,4774,4,100,29
213,132859392,2034,4546,23,341,127
214,54503733,2033,4740,16,111,8
215,26340411,2029,5550,37,109,8
216,137206195,2026,5832,84,142,22
217,96786471,2024,4617,845,185,15
218,51083613,2023,4616,1,261,6
219,51692765,2013,5013,63,115,62
220,12513470,2008,3928,110,107,10
221,100715671,2003,5107,11,152,9
222,17471472,2003,4392,3,70,57
223,21968456,1999,5245,0,187,34
224,32011454,1995,4684,1,87,17
225,89233383,1994,4363,23,25,8
226,76417703,1992,6801,0,135,58
227,13906709,1992,4671,2,298,36
228,56193432,1988,3723,45,401,2
229,74356194,1984,4757,2,441,38
230,53236012,1983,6769,227,127,48
231,74664651,1981,4751,86,51,20
232,89362349,1978,5572,125,23,15
233,103748797,1974,5479,15,325,18
234,3230317,1969,4899,32,171,22
235,45268920,1968,4197,1108,21,4
236,37868022,1963,4958,805,1,11
237,31150503,1962,5807,85,230,31
238,34367769,1961,3790,14,22,24
239,21838112,1958,3574,8,183,65
240,28880921,1954,3819,284,10,8
241,47344550,1953,5856,4,210,14
242,70270079,1951,4632,391,62,6
243,118033983,1951,3850,33,0,2
244,127583067,1950,3910,108,7,12
245,43708275,1944,6049,67,57,34
246,85901503,1943,5016,141,28,30
247,1017622,1943,4854,6,134,11
248,88137020,1934,3376,123,1,0
249,118918181,1932,4361,26,484,51
250,47587432,1931,5137,39,601,126
251,75268661,1926,5824,130,71,54
252,23038853,1925,5148,7,249,13
253,132671424,1922,4467,29,37,39
254,94316158,1920,4359,274,171,25
255,110279640,1918,4365,73,73,17
256,771719,1915,5644,1,104,20
257,14543753,1912,4279,1,133,54
258,88821605,1912,4834,306,11,12
259,1535406,1909,4112,3,295,61
260,86241219,1909,5428,16,270,16
261,88257423,1907,4261,0,503,159
262,89885556,1903,5232,594,77,22
263,117233589,1899,5329,46,138,17
264,97587464,1894,4375,95,205,41
265,90563664,1893,4025,65,123,10
266,127091300,1891,5594,435,6,10
267,118825889,1891,4526,47,173,98
268,14504881,1890,3720,144,111,11
269,33713238,1884,3877,343,47,8
270,98147182,1878,4122,18,189,34
271,46758215,1876,5334,4,131,62
272,41993449,1875,5406,64,357,108
273,12027609,1875,4055,344,22,20
274,125518888,1874,4069,196,50,40
275,100699621,1872,5927,158,124,22
276,24001678,1868,4366,24,132,29
277,120849054,1864,3739,2,274,24
278,44850234,1861,3470,125,2,3
279,47346917,1861,5639,205,287,17
280,16022065,1858,5046,749,236,21
281,43072986,1858,3716,8,8,15
282,111418639,1856,4030,36,345,52
283,12102782,1856,4275,3,25,10
284,61985804,1852,5008,66,89,59
285,69588442,1852,4560,228,2,6
286,90342802,1848,4078,3,171,7
287,122532985,1847,4395,175,11,18
288,51654868,1847,4929,42,376,33
289,78436160,1838,4866,5,15,21
290,15512466,1837,3361,5,184,46
291,54053313,1835,4502,80,28,29
292,28490094,1833,4197,119,202,25
293,76475208,1833,3658,170,91,20
294,130580296,1831,3047,84,6,16
295,90335230,1827,3268,101,30,16
296,137092115,1823,5261,104,34,35
297,130583905,1821,4470,57,38,8
298,134148769,1820,4260,7,7,43
299,83094299,1818,5266,53,97,35
300,111378577,1813,5475,96,16,8
301,31467985,1811,3047,0,61,5
302,31550460,1806,2570,3,33,8
303,60284321,1800,3074,2,59,40
304,52673329,1798,4915,229,57,16
305,65420018,1794,4239,179,94,29
306,125847479,1792,4559,224,10,19
307,130714009,1790,4553,3,303,61
308,142147795,1789,3775,105,3,8
309,102689596,1789,4856,36,338,21
310,16891565,1789,4524,79,44,24
311,101759904,1788,4943,1,224,47
312,12897900,1788,5107,15,108,9
313,74346830,1788,5115,10,465,55
314,122331001,1785,3947,22,93,18
315,33384407,1785,4848,215,186,21
316,2095294,1782,4019,264,136,8
317,14058841,1778,4072,5,102,29
318,42182525,1777,5095,8,54,32
319,16439195,1776,5111,52,97,36
320,91915921,1771,4464,115,70,25
321,41683503,1765,5876,26,2,7
322,113321309,1763,4223,1,166,26
323,137190407,1763,3723,4,277,75
324,74970566,1760,5157,17,241,63
325,28534351,1759,4239,109,81,46
326,111835408,1757,6366,120,517,50
327,123857760,1754,5377,18,377,133
328,105425114,1752,3102,134,33,26
329,76515317,1750,3355,194,67,21
330,36140679,1747,4736,22,93,69
331,125736325,1746,5383,486,158,38
332,64141038,1743,3304,194,2,0
333,11499417,1742,4954,280,52,30
334,38540226,1738,2700,18,9,21
335,37644304,1738,3742,97,83,25
336,48733433,1735,3661,2,82,49
337,115581277,1730,3402,91,144,26
338,116989241,1727,4691,15,2,6
339,119370179,1725,5502,170,32,23
340,48583253,1725,3554,0,94,26
341,72194563,1725,4749,36,519,68
342,101764626,1723,4467,211,8,15
343,99137411,1717,4327,256,62,7
344,68074055,1710,5625,98,99,52
345,119760989,1708,3403,35,0,0
346,117965873,1702,2708,10,53,0
347,125117551,1700,4703,11,2,22
348,87480402,1696,3559,35,90,38
349,3979052,1695,4719,209,0,16
350,31307312,1694,5600,351,577,46
351,101737065,1690,4067,0,202,6
352,17985900,1690,3078,176,23,9
353,37217199,1689,5154,129,71,6
354,103085001,1687,3408,99,14,22
355,11121474,1685,3417,0,418,15
356,11521732,1684,4177,165,309,109
357,123900342,1683,2894,6,225,30
358,71636918,1675,4275,383,70,3
359,46620381,1675,4378,183,246,16
360,63652221,1675,3938,437,106,6
361,88538921,1669,4206,8,62,14
362,116056493,1668,3932,251,202,48
363,50405875,1666,4301,240,213,104
364,107673017,1666,5120,119,33,31
365,94616427,1665,4709,0,328,42
366,66015216,1664,2562,0,169,24
367,141200871,1661,3443,3,24,43
368,28102496,1660,4811,9,182,11
369,87470884,1658,4913,321,37,9
370,81500436,1657,4429,20,87,19
371,92500742,1654,4139,17,299,43
372,130699981,1649,4576,219,325,27
373,64190622,1648,4966,172,24,8
374,15592007,1647,4024,712,29,1
375,72956422,1643,3851,28,17,48
376,78324436,1637,3800,126,34,24
377,45116925,1635,4514,139,119,21
378,56707430,1634,4037,114,19,19
379,70500246,1629,3447,2,226,94
380,69953654,1629,3630,282,257,48
381,36185714,1628,4150,81,19,13
382,55678980,1626,2792,51,41,6
383,117549219,1623,4491,34,10,10
384,139668332,1622,4566,7,400,110
385,19236259,1620,3984,68,90,20
386,84488670,1618,3567,6,95,27
387,67469321,1613,4266,1,224,35
388,26916375,1611,4968,178,335,32
389,122869892,1609,3950,75,55,36
390,127929103,1605,4293,67,35,14
391,23793179,1601,3206,55,41,32
392,135510820,1601,4581,133,405,13
393,91686454,1601,4199,101,57,70
394,134029279,1600,3879,270,19,18
395,91518799,1598,3675,5,31,2
396,115100866,1597,3456,4,1,5
397,18763809,1596,2904,10,155,49
398,33078703,1594,3406,7,135,0
399,58305040,1593,3861,24,133,41
400,75502213,1589,4386,56,6,11
401,22921488,1589,3037,2,200,43
402,15526307,1588,4051,1,3,0
403,54257383,1586,4187,100,47,33
404,29938725,1586,3310,99,9,37
405,91309794,1585,3055,1,194,23
406,23130068,1584,3693,5,188,41
407,21449998,1581,3080,3,231,47
408,120664599,1579,4507,197,53,30
409,104531516,1578,3689,64,62,33
410,8583317,1578,3868,4,74,27
411,23818334,1575,3524,3,142,12
412,139621149,1573,5143,79,200,25
413,110468225,1571,3584,182,32,58
414,36121813,1570,4387,94,98,44
415,7546392,1568,4208,160,79,18
416,48610424,1568,3225,77,14,23
417,87527373,1568,3691,73,10,17
418,80389559,1564,2894,0,64,7
419,30559509,1563,3898,34,134,21
420,60088374,1562,4593,8,249,27
421,21209933,1561,4055,40,162,31
422,43113553,1560,4271,101,119,102
423,30516846,1560,3477,38,22,15
424,90746875,1560,4266,4,245,54
425,31222716,1559,4035,30,99,33
426,93756432,1558,3365,45,38,2
427,23749054,1552,3664,13,273,22
428,78948943,1552,4699,43,172,29
429,108836330,1552,5439,60,106,52
430,66976876,1551,4067,68,0,4
431,739573,1551,4517,1,310,47
432,107022033,1549,4973,97,245,72
433,133442561,1549,3959,117,142,14
434,134309562,1549,4804,75,343,98
435,86860857,1547,4169,22,268,25
436,32219902,1547,3324,10,97,60
437,130227880,1544,3847,17,128,28
438,104849335,1540,4174,103,71,25
439,117848028,1539,3402,219,68,36
440,92323562,1536,3599,11,43,9
441,31024861,1527,3401,275,96,10
442,18060671,1526,3870,1,188,8
443,69051488,1522,3782,1,148,5
444,104615163,1515,2644,3,40,3
445,88959033,1511,3244,4,217,27
446,142073399,1511,3474,1,65,16
447,80489520,1509,4333,15,77,98
448,103550913,1509,3303,123,249,10
449,127845416,1508,3330,63,62,21
450,94173761,1508,5263,48,40,45
451,96877885,1506,3133,0,45,17
452,118828178,1506,3512,129,27,8
453,59344659,1503,4406,5,143,22
454,126248485,1503,2865,197,18,10
455,116662489,1498,4256,35,10,9
456,6378117,1495,3972,122,34,12
457,47407626,1493,3805,84,35,27
458,109369720,1492,2661,119,61,50
459,138314887,1491,3812,66,165,54
460,100112779,1491,3963,389,136,43
461,24298954,1491,3600,72,15,5
462,31718228,1486,4554,140,123,27
463,7615259,1486,3457,125,16,23
464,142143305,1485,3075,2,260,7
465,66298563,1483,3807,71,75,5
466,126043898,1482,3866,164,26,11
467,26640891,1480,2861,44,0,1
468,134002712,1479,3665,253,254,63
469,33393343,1478,2805,0,14,0
470,12269523,1478,3366,18,208,75
471,56031880,1477,3826,2,95,50
472,133135970,1476,3258,176,66,24
473,100121590,1476,4071,49,91,68
474,50724712,1475,3449,5,116,16
475,94536232,1475,3048,1,71,6
476,76389315,1474,3784,67,106,40
477,138977640,1472,4301,78,222,8
478,47174804,1472,5202,260,153,112
479,17042777,1471,3047,129,0,0
480,112994827,1471,3541,241,16,7
481,438276,1470,3171,1,100,15
482,47216621,1468,3214,189,19,11
483,20426327,1463,4740,7,225,38
484,115821604,1462,3343,28,126,48
485,128519833,1461,2504,2,1,5
486,68352416,1461,2928,132,12,4
487,45561576,1458,3341,145,57,9
488,85067839,1458,2890,19,15,21
489,142332593,1458,2759,57,35,24
490,89488053,1458,3735,2,70,16
491,62015223,1457,3317,25,36,5
492,56238094,1454,3336,0,40,6
493,1790150,1454,3557,253,1,1
494,90175461,1450,3871,113,7,7
495,142258739,1449,2949,45,72,11
496,119420069,1449,3321,40,135,32
497,36524064,1448,3871,249,28,12
498,29943812,1447,2820,14,170,9
499,23251020,1447,2863,137,19,26
500,20815921,1446,3837,105,421,106
501,110374599,1446,4250,23,70,34
502,20544860,1444,4019,8,239,50
503,20048853,1444,3871,140,25,22
504,70892487,1443,4237,21,29,21
505,54368965,1440,3284,43,4,6
506,39081616,1440,3591,236,35,16
507,64139754,1437,3988,11,98,29
508,88999753,1435,3995,140,85,15
509,134450458,1433,3053,3,36,21
510,122626233,1431,4229,125,7,6
511,102726502,1430,3098,1,85,21
512,34382986,1426,3045,1,87,44
513,76435150,1426,2181,0,34,3
514,92926865,1425,3731,86,288,88
515,33638786,1425,3566,37,81,43
516,120859758,1424,3269,1,132,24
517,15538158,1422,4568,1,92,12
518,98167934,1420,4268,2,16,8
519,120966493,1420,2994,2,157,20
520,22496560,1420,2354,0,66,3
521,2996605,1420,3922,205,110,5
522,65801616,1419,2762,14,145,41
523,84001614,1419,3486,143,97,22
524,11313128,1418,3653,3,167,3
525,105316152,1417,3732,2,261,27
526,12732146,1416,3895,92,33,17
527,7944698,1416,3263,28,330,114
528,73007312,1413,3164,15,84,36
529,90113730,1413,3153,944,136,11
530,107606206,1412,3776,68,17,28
531,71276064,1411,3289,5,69,37
532,118352761,1409,3443,38,61,5
533,13398279,1408,3468,3,23,11
534,14419615,1407,4286,11,163,17
535,48898910,1407,4453,54,11,3
536,52865510,1407,3242,151,4,12
537,126229065,1401,3710,4,89,17
538,113143246,1400,3358,109,30,34
539,58151249,1400,3611,1,76,13
540,111410233,1398,3371,61,6,9
541,15343106,1398,2596,4,121,12
542,3703520,1398,3228,4,153,47
543,58883715,1398,2849,15,7,9
544,122762182,1397,2860,140,0,1
545,101338835,1397,3676,8,227,7
546,6162328,1396,3688,2,57,34
547,69493193,1395,4934,0,594,69
548,7882176,1394,3341,0,148,51
549,38527866,1393,3046,4,29,6
550,94770747,1392,3953,43,68,44
551,53714816,1392,3728,17,55,21
552,74120477,1391,3846,120,95,17
553,25103848,1390,4079,201,56,10
554,2471118,1388,3950,46,219,21
555,17304888,1387,4303,14,32,25
556,91614178,1386,3767,148,123,33
557,29064427,1386,2844,61,68,34
558,43707353,1386,4105,90,67,53
559,45991751,1386,3590,22,13,3
560,36409669,1385,3499,9,36,24
561,73305302,1385,3507,56,40,37
562,36148755,1384,3165,148,85,65
563,50809462,1382,3418,5,187,35
564,100368294,1379,3377,12,424,18
565,126603266,1379,3606,2,91,42
566,129828194,1379,3486,628,1,11
567,74816258,1377,3611,1,140,3
568,1928096,1377,2749,2,53,18
569,50289919,1377,2947,2,13,6
570,90254543,1376,2509,236,1,19
571,72646443,1375,2941,65,171,61
572,54527285,1372,2574,168,22,22
573,13141322,1371,3084,44,87,38
574,7672365,1370,3128,78,1,1
575,100213955,1368,3171,178,234,24
576,68632763,1363,3224,1,38,27
577,92385303,1362,3578,50,73,13
578,101034881,1360,3411,203,10,8
579,54882858,1360,3642,2,81,35
580,47795449,1359,2635,55,24,18
581,130206172,1358,3800,390,227,9
582,139370639,1358,3371,2,47,16
583,12608436,1357,3227,24,109,33
584,95203830,1354,3680,19,8,12
585,89634823,1353,3111,24,39,33
586,24301744,1353,2388,0,9,0
587,49149782,1352,2488,45,223,32
588,141361543,1352,3110,22,221,19
589,32356212,1351,3539,132,82,30
590,30872855,1351,3017,2,150,63
591,28398589,1350,3224,107,102,48
592,46415349,1347,3145,66,80,16
593,66015019,1346,2381,1,62,11
594,5999606,1346,2614,29,51,11
595,120607401,1346,3022,1,49,6
596,136420024,1342,3321,34,41,27
597,25820087,1339,3569,51,1,6
598,48821947,1339,3910,101,0,8
599,26664688,1339,3020,107,27,23
600,46288074,1337,3035,3,20,23
601,108049615,1336,2911,49,6,13
602,117974829,1336,3237,90,13,40
603,59451304,1332,3186,0,122,47
604,39705101,1331,3495,0,16,18
605,24236828,1330,2896,0,107,29
606,53164234,1330,3027,4,158,43
607,141773008,1326,4050,67,13,8
608,44939837,1326,2539,1,411,0
609,42019532,1325,3942,445,8,16
610,116830510,1324,3096,348,26,21
611,16557692,1323,3470,91,113,51
612,65646895,1323,2925,6,44,27
613,66179672,1322,3497,346,3,19
614,125635006,1322,3175,3,40,11
615,78064816,1321,3424,74,118,89
616,48833599,1320,4021,7,89,23
617,122352325,1320,3367,80,102,16
618,71963285,1319,3360,1,135,31
619,2869892,1315,3180,190,92,2
620,51212448,1315,2706,0,47,1
621,85116925,1314,3646,43,17,27
622,19839658,1314,2868,124,12,11
623,98087646,1312,3577,3,1,13
624,36209907,1312,3168,54,5,5
625,78836388,1312,2908,75,119,102
626,49749880,1310,4042,482,282,60
627,99834781,1309,3096,1,191,32
628,30671231,1308,3189,229,14,32
629,4770315,1307,2901,97,9,5
630,107808763,1305,2640,1,52,8
631,54878837,1304,2739,78,505,65
632,103228540,1303,3044,3,70,34
633,125422709,1303,4509,0,969,97
634,45349887,1302,3501,403,26,30
635,82595029,1301,3620,0,182,27
636,34814020,1301,3242,3,56,10
637,84123477,1301,3359,68,241,37
638,26309649,1300,4175,354,139,60
639,87452250,1298,3623,1,204,54
640,52753260,1298,3381,4,40,26
641,113970599,1296,3948,2,24,31
642,38037832,1296,3442,165,33,5
643,10977473,1295,2973,17,3,10
644,116033573,1294,3230,15,11,6
645,29809341,1293,2836,52,84,10
646,40297927,1293,3119,2,307,27
647,81525436,1292,2678,48,72,17
648,71517427,1291,3044,152,59,24
649,140941965,1290,2953,19,81,25
650,21322266,1288,2937,84,24,21
651,74309234,1287,4080,147,291,40
652,97811342,1286,3263,2,153,26
653,122473970,1284,3056,56,145,21
654,41759212,1281,3260,4,62,32
655,74057376,1281,4003,59,111,37
656,86868724,1279,2411,2,89,10
657,80182755,1279,2734,78,19,16
658,71091987,1277,2969,1,127,19
659,135012633,1274,3520,166,182,69
660,134503898,1273,4131,294,43,8
661,34692963,1271,3036,127,39,25
662,24045086,1271,3947,184,247,69
663,93130238,1270,3067,50,32,29
664,87211285,1270,2815,142,90,16
665,31573310,1270,2896,93,196,26
666,52326160,1270,2761,71,16,20
667,84368466,1266,4263,242,373,106
668,34257736,1266,2576,4,6,7
669,83313891,1265,3547,2,164,34
670,127311714,1265,2799,108,29,19
671,123783088,1261,3465,1,166,41
672,62745757,1256,3338,33,8,11
673,141106107,1254,3708,17,72,61
674,87384297,1254,3818,187,78,40
675,99411301,1254,2708,46,159,63
676,91388134,1253,3132,26,4,8
677,26638964,1252,2206,20,3,10
678,87107968,1251,3722,15,8,11
679,17526434,1250,2789,76,59,42
680,41017565,1250,3079,2,62,1
681,81523664,1246,2872,95,16,12
682,27246513,1246,2594,274,46,21
683,68370722,1246,3106,206,114,27
684,33646417,1245,3371,46,46,19
685,93355152,1245,3001,30,182,30
686,101510566,1244,4350,82,418,78
687,58107576,1243,2416,2,10,3
688,123603693,1243,3472,89,22,20
689,46320598,1243,2989,35,7,13
690,115633523,1242,2968,135,5,12
691,75764489,1242,3118,83,102,8
692,90795949,1241,2662,192,39,13
693,31840935,1240,4441,255,48,25
694,110054445,1240,3300,7,20,16
695,27164286,1240,2322,3,134,30
696,64087996,1239,3022,7,375,231
697,31006519,1238,4128,64,71,17
698,67807564,1237,3308,46,1,8
699,44059108,1237,2691,2,146,48
700,114497655,1237,2414,44,20,46
701,29762430,1236,3015,128,202,29
702,68781596,1236,2289,1,57,0
703,45709241,1235,3127,4,117,38
704,121872216,1235,3484,9,172,25
705,14698625,1235,2567,3,59,20
706,101808119,1233,2978,472,117,13
707,107479712,1232,2840,56,16,6
708,141278390,1232,2865,129,135,2
709,17254185,1231,2552,8,10,6
710,26770280,1231,2485,4,107,54
711,48952506,1230,2902,163,64,39
712,10735808,1228,2849,50,154,1
713,893399,1227,2869,1,60,10
714,104414180,1226,3193,9,126,21
715,56352694,1225,2536,73,26,13
716,7494627,1224,3118,17,184,42
717,65910194,1224,1935,2,71,41
718,48012828,1224,3398,5,21,4
719,50373510,1223,2688,2,66,17
720,31493754,1222,2646,25,80,17
721,18788653,1222,2935,0,428,8
722,99220736,1221,3170,25,106,64
723,65335441,1217,2877,17,83,18
724,70412049,1215,3056,2,175,60
725,81246263,1213,1942,2,76,0
726,125250972,1213,2399,46,160,3
727,108768391,1212,2582,1,310,46
728,3391398,1211,3601,1,148,17
729,29367711,1207,2616,4,88,12
730,107802336,1207,3296,0,122,36
731,103114172,1206,2574,5,216,5
732,80514853,1204,3292,19,20,16
733,2764328,1204,2418,156,11,16
734,5957816,1203,2889,5,41,16
735,26504487,1203,2573,0,328,176
736,109217786,1202,2729,0,77,6
737,33522133,1201,3172,116,1,13
738,56859796,1201,3547,109,21,17
739,121778868,1200,2996,87,36,48
740,77053167,1199,3417,3,239,41
741,98080912,1198,3129,25,23,26
742,32977820,1197,2692,44,8,7
743,69492604,1195,2774,1,172,26
744,41807643,1195,2351,1,11,14
745,112037788,1194,3734,4,312,31
746,104773093,1193,2680,340,0,3
747,41888827,1191,2989,30,10,13
748,120010802,1190,2022,1,1,6
749,39817255,1190,3026,5,114,36
750,141074749,1190,2784,3,1,7
751,43380951,1189,3041,239,29,1
752,43477702,1189,2918,305,106,22
753,78109345,1189,2169,14,107,10
754,129979590,1189,3623,88,85,13
755,11417461,1186,2858,49,2,7
756,101991833,1186,2864,3,126,4
757,21860147,1186,2505,43,38,9
758,137215130,1185,2910,27,112,64
759,53540927,1184,4372,6,292,121
760,141325380,1184,2479,1,167,4
761,33897272,1182,3048,121,8,11
762,26094654,1182,3082,2,209,19
763,123488278,1179,3221,8,53,20
764,13201221,1179,2924,1,92,12
765,100256849,1178,3094,106,19,13
766,140500519,1177,3082,74,99,50
767,46522251,1176,3211,111,42,6
768,35442441,1176,2817,114,2,28
769,36696186,1176,2981,170,234,8
770,109867332,1175,3150,120,272,34
771,55214292,1174,3570,215,17,16
772,18187983,1174,2904,86,3,5
773,130453311,1172,2802,1,129,29
774,118828623,1172,3197,74,72,32
775,94347670,1170,2282,11,53,4
